,ExtDataFig 12 b,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
10,d14 My,CD164high,3.22,5.86,2.84,5.24,2.21,2.98,1.96,7.16,3.06,10.5,17.7,8.54,18.1,9.21,9.2,9.37,16.6,11.9,85.9,76.0,88.3,75.9,88.1,87.4,88.4,75.8,84.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,CD164low,2.6,1.57,1.37,0.16,0.5,0.71,0.7,3.6,0.41,15,14.2,10.4,6.39,19.8,6.33,5.42,13.2,8.53,81.6,83.4,87.6,93.0,78.9,92.6,93.6,82.8,90.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,CD34+,1.9,1.58,,4.81,1.51,2.61,2.85,7.01,3.36,13.2,7.05,,15.8,7.14,8.26,8.83,20.7,14.0,84.2,91.0,,79.0,91.1,88.7,87.8,71.7,82.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ExtDataFig 12 c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,LIN+,,,,,,LIN-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,d0,CD164high,5.91,2.59,5.26,2.63,4.04,8.95,94.1,97.2,94.5,97.7,96.3,91.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,CD164low,41.1,51.5,37.0,4.5,6.18,7.61,58.6,47.8,62.1,95.9,94.3,92.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,CD34+,25,15.4,22.8,5.82,13.3,15.8,74.6,84.1,76.9,94.5,87.8,85.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,d4 Exp,CD164high,23.6,23.8,21.3,11.5,19.5,13.0,76.2,76.1,78.4,88.3,80.4,86.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,CD164low,40.2,59.8,42.2,26.7,42.8,19.3,59.6,40.0,57.6,73.1,57.0,80.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,CD34+,36.1,24.9,26.3,13.3,23.6,15.0,63.7,75.0,73.6,86.5,76.3,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ExtDataFig 12 d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,CD34+CD15+,,,,,,,,,CD34+CD19+,,,,,,,,,CD34+CD15-CD19-,,,,,,,,,CD34-CD15+,,,,,,,,,CD34-CD19+,,,,,,,,,CD34-CD15-CD19-,,,,,,,,
29,d0,CD34+,0.489,0.17514,0.1536,0.35352,0.61047,0.89952,,,,18.9732,11.5787,18.144,16.0066,13.7598,19.8644,,,,78.0444,85.3321,77.376,81.6042,82.4619,72.8049,,,,0.020176,0.034251,0.0,0.021158,0.011088,0.202195,,,,0.84196,1.51683,1.57885,0.78225,1.75392,1.7767,,,,1.07864,0.75958,1.87033,0.68689,0.72072,3.46075,,,
30,d4 Exp,CD164high,29.6283,44.5809,34.2237,,,,,,,0.68302,0.34983,0.51471,,,,,,,56.6722,38.571,50.568,,,,,,,2.941,3.49757,2.46077,,,,,,,0.13148,0.236108,0.072424,,,,,,,3.51536,4.79264,5.44826,,,,,,
31,,CD34+,32.856,38.6316,,,,,,,,0.23976,0.33516,,,,,,,,50.3496,43.9236,,,,,,,,4.29664,4.20304,,,,,,,,0.090016,0.074228,,,,,,,,4.15744,4.28016,,,,,,,
32,d14 My,CD164high,0.49077,0.05076,0.13888,0.16744,0.172838,0.32431,0.15322,0.21462,0.44428,6.2928,6.6176,3.5056,9.7916,3.19459,3.4126,3.948,5.9349,3.8396,9.3366,10.6784,6.9104,7.0616,5.87455,6.9834,4.9632,15.3738,6.7164,31.9998,36.4229,22.9944,15.386,10.9244,21.625,26.1,15.5904,28.032,7.02552,8.3685,8.7971,10.5975,3.524,8.65,5.553,4.11648,7.82268,39.6188,33.474,53.0439,51.025,72.5944,54.668,57.42,56.1408,50.5452
33,,CD164low,0.21816,0.48106,0.249246,,,1.166,0.076614,0.29925,0.636306,4.914,7.4906,3.61611,,,2.7772,1.0509,5.3523,1.866,4.9788,4.556,2.19963,,,5.7028,5.4918,10.431,6.63363,34.2386,38.8368,49.868,,,37.4088,26.8932,26.6505,42.9462,6.96938,12.7224,6.5156,,,2.41956,1.7499,2.5591,1.54143,44.4059,30.4668,32.214,,,44.7876,62.628,51.182,43.659
34,,CD34+,0.6201,,0.365368,0.19926,0.332946,0.8895,0.26442,0.23048,0.5394,3.2012,,2.58942,6.642,3.50118,5.01,2.3504,10.8808,4.898,4.4626,,3.55312,8.5374,5.0085,8.175,8.4863,14.5524,9.7185,29.5647,,30.7671,16.605,12.2876,36.4208,27.5064,15.7461,33.698,11.0109,,13.0065,5.913,3.315,3.93872,2.0586,6.60761,3.6354,42.3963,,42.2487,57.105,71.604,41.2,57.1152,48.6763,44.82
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ExtDataFig 12 e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,CD41+CD71-GPA-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,CD164high,303100,285285.0,317184.0,261676.8,304998.4,193646.2,115368,203869.05,258400.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,CD164low,96954.624,5298.3,60007.5,58591.35,,72201.6,32923.2,56072.8,78650.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,CD34+,233062.5,,323895.0,283575.6,133279.3,215280.0,123908.4,185708.25,210749.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
